burst_id,min_lag,duration_seconds,cluster,predicted_prob_250d_gt20,target_gt20_250d
2021-03-16_2021-03-16 09:39:00-04:00,78.01459490740741,0.0,3.0,4.060155018724252e-59,0
2021-03-16_2021-03-16 09:40:35-04:00,78.01349537037036,0.0,3.0,3.9764332487545863e-60,0
2021-03-16_2021-03-16 09:41:15-04:00,78.01303240740741,5.0,3.0,4.132575148114698e-59,0
2021-03-16_2021-03-16 09:48:39-04:00,78.00789351851851,131.0,4.0,3.1572986992891307e-60,0
2021-03-16_2021-03-16 09:50:57-04:00,78.0062962962963,1.0,3.0,3.993037114883197e-59,0
2021-03-16_2021-03-16 09:51:05-04:00,78.0062037037037,193.0,4.0,1.725357936079458e-68,0
2021-03-16_2021-03-16 09:54:20-04:00,78.00394675925926,0.0,3.0,4.312883160267639e-59,0
2021-03-16_2021-03-16 09:54:37-04:00,78.00375,2.0,3.0,4.331476656366647e-59,0
2021-03-16_2021-03-16 09:54:42-04:00,78.00369212962963,0.0,3.0,4.672733274839873e-59,0
2021-03-16_2021-03-16 09:58:44-04:00,78.0008912037037,20.0,3.0,1.7125330516439399e-59,0
2021-03-16_2021-03-16 10:00:18-04:00,77.99980324074075,1.0,3.0,4.082125123758291e-59,0
2021-03-16_2021-03-16 10:01:25-04:00,77.99902777777778,118.0,4.0,8.040548425876546e-60,0
2021-03-17_2021-03-17 09:32:06-04:00,77.01938657407408,22.0,1.0,5.494407917367539e-71,0
2021-03-17_2021-03-17 09:32:42-04:00,77.01896990740741,0.0,3.0,7.0606846629754314e-71,0
2021-03-17_2021-03-17 09:36:16-04:00,77.01649305555556,3.0,3.0,5.13596020675243e-71,0
2021-03-17_2021-03-17 09:36:27-04:00,77.01636574074074,3.0,3.0,6.89464095025447e-71,0
2021-03-17_2021-03-17 09:41:15-04:00,77.01303240740741,35.0,1.0,3.835387178927232e-71,0
2021-03-17_2021-03-17 09:41:54-04:00,77.01258101851852,29.0,1.0,6.9149054950588355e-71,0
2021-03-17_2021-03-17 09:42:58-04:00,77.01184027777778,39.0,1.0,7.315457204427207e-71,0
2021-03-17_2021-03-17 09:43:53-04:00,77.0112037037037,1.0,3.0,6.4613974804468e-71,0
2021-03-17_2021-03-17 09:45:01-04:00,77.01041666666667,359.0,4.0,3.3423033119500237e-72,0
2021-03-17_2021-03-17 09:51:02-04:00,77.00623842592593,36.0,1.0,8.65872025491778e-71,0
2021-03-17_2021-03-17 09:52:05-04:00,77.00550925925926,8.0,3.0,6.0558281957093646e-71,0
2021-03-17_2021-03-17 09:52:15-04:00,77.00539351851852,3.0,3.0,6.137464597409788e-71,0
2021-03-17_2021-03-17 09:52:22-04:00,77.0053125,10.0,3.0,3.462643967717013e-71,0
2021-03-17_2021-03-17 09:52:52-04:00,77.00496527777777,25.0,3.0,4.3124716339039826e-71,0
2021-03-17_2021-03-17 09:53:24-04:00,77.00459490740741,67.0,1.0,3.4426650222519727e-71,0
2021-03-17_2021-03-17 09:54:44-04:00,77.00366898148148,6.0,3.0,5.2869865890555484e-71,0
2021-03-17_2021-03-17 09:55:00-04:00,77.0034837962963,0.0,3.0,6.72220754063806e-71,0
2021-03-17_2021-03-17 09:55:03-04:00,77.00344907407407,0.0,3.0,6.8291912614666334e-71,0
2021-03-17_2021-03-17 09:55:07-04:00,77.00340277777778,26.0,3.0,6.646414967478015e-71,0
2021-03-17_2021-03-17 09:55:35-04:00,77.00307870370371,3.0,3.0,7.0769421965580245e-71,0
2021-03-17_2021-03-17 09:55:45-04:00,77.00296296296297,0.0,3.0,6.882196273592066e-71,0
2021-03-17_2021-03-17 09:55:52-04:00,77.00288194444444,0.0,3.0,7.1106592593246965e-71,0
2021-03-17_2021-03-17 09:56:09-04:00,77.00268518518519,3.0,3.0,7.0843382542639e-71,0
2021-03-17_2021-03-17 09:56:16-04:00,77.00260416666667,1.0,3.0,7.228721553474739e-71,0
2021-03-17_2021-03-17 09:56:20-04:00,77.00255787037037,116.0,1.0,3.57791219918393e-71,0
2021-03-18_2021-03-18 08:00:00-04:00,76.08334490740741,5541.0,4.0,1.2626986897075173e-66,0
2021-03-18_2021-03-18 09:32:28-04:00,76.01913194444444,131.0,1.0,6.94871352531777e-67,0
2021-03-18_2021-03-18 09:36:53-04:00,76.01606481481481,56.0,1.0,2.9883988489028927e-66,0
2021-03-18_2021-03-18 09:38:03-04:00,76.01525462962962,147.0,1.0,3.205032425359966e-66,0
2021-03-18_2021-03-18 09:40:40-04:00,76.0134375,2.0,3.0,1.8296545618662367e-66,0
2021-03-18_2021-03-18 09:40:51-04:00,76.01331018518519,20.0,3.0,4.5251731673356046e-66,0
2021-03-18_2021-03-18 09:44:11-04:00,76.01099537037037,3.0,3.0,6.204083826036571e-66,0
2021-03-18_2021-03-18 09:44:38-04:00,76.01068287037037,5.0,3.0,5.642148427854105e-66,0
2021-03-18_2021-03-18 09:44:46-04:00,76.01059027777778,33.0,3.0,1.9403873491982995e-66,0
2021-03-18_2021-03-18 09:45:28-04:00,76.01010416666666,7.0,3.0,5.433369979916031e-66,0
2021-03-18_2021-03-18 10:23:14-04:00,75.98387731481482,3.0,3.0,5.389599117900591e-66,0
2021-03-18_2021-03-18 10:23:22-04:00,75.98378472222223,116.0,1.0,6.393612052269604e-66,0
2021-03-18_2021-03-18 10:25:20-04:00,75.98241898148149,1.0,3.0,7.704972039746212e-66,0
2021-03-18_2021-03-18 10:25:24-04:00,75.98237268518518,3.0,3.0,7.432736083983158e-66,0
2021-03-18_2021-03-18 10:26:15-04:00,75.98178240740741,19.0,3.0,6.479274709593182e-66,0
2021-03-18_2021-03-18 10:26:37-04:00,75.98152777777777,15.0,3.0,7.034532667439622e-66,0
2021-03-18_2021-03-18 10:26:56-04:00,75.98130787037037,0.0,0.0,1.0550304454388047e-66,0
2021-03-18_2021-03-18 10:26:58-04:00,75.98128472222223,1.0,3.0,7.391096881241421e-66,0
2021-03-18_2021-03-18 10:27:01-04:00,75.98125,6.0,3.0,6.635179931594359e-66,0
2021-03-18_2021-03-18 10:27:23-04:00,75.98099537037037,5.0,3.0,6.79690233003561e-66,0
2021-03-18_2021-03-18 10:27:30-04:00,75.98091435185185,0.0,0.0,1.1295050999829477e-66,0
2021-03-18_2021-03-18 10:28:04-04:00,75.98052083333333,3.0,3.0,7.468127540728414e-66,0
2021-03-19_2021-03-19 08:00:00-04:00,75.08334490740741,5457.0,4.0,2.8078069839904337e-62,0
2021-03-19_2021-03-19 09:31:36-04:00,75.0197337962963,257.0,4.0,7.210505546417659e-61,0
2021-03-19_2021-03-19 09:35:55-04:00,75.01673611111111,0.0,3.0,1.0015893516504223e-59,0
2021-03-19_2021-03-19 09:51:10-04:00,75.00614583333333,4.0,3.0,9.694588056083118e-60,0
2021-03-19_2021-03-19 09:51:26-04:00,75.00596064814815,1.0,3.0,1.1307534959787005e-59,0
2021-03-19_2021-03-19 09:51:29-04:00,75.00592592592592,2.0,3.0,1.1320558536444708e-59,0
2021-03-19_2021-03-19 09:51:43-04:00,75.0057638888889,1.0,3.0,1.0281255034156712e-59,0
2021-03-22_2021-03-22 09:07:01-04:00,72.03680555555556,0.0,2.0,3.3994380722707204e-62,0
