start,end,max,count,date,burst_id,cluster,close,close_fwd_1d,return_1d,close_fwd_5d,return_5d,close_fwd_20d,return_20d,close_fwd_60d,return_60d,close_fwd_120d,return_120d,close_fwd_250d,return_250d,close_fwd_360d,return_360d,close_fwd_500d,return_500d,duration_seconds
2021-06-10 08:47:45-04:00,2021-06-10 08:47:45-04:00,278.9,2,2021-06-10,2021-06-10_2021-06-10 08:47:45-04:00,0.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,0.0
2021-06-10 08:48:16-04:00,2021-06-10 08:48:37-04:00,278.9,3,2021-06-10,2021-06-10_2021-06-10 08:48:16-04:00,0.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,21.0
2021-06-10 08:48:59-04:00,2021-06-10 08:48:59-04:00,278.0,1,2021-06-10,2021-06-10_2021-06-10 08:48:59-04:00,5.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,0.0
2021-06-10 08:49:09-04:00,2021-06-10 09:32:04-04:00,288.88,6628,2021-06-10,2021-06-10_2021-06-10 08:49:09-04:00,4.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,2575.0
2021-06-10 09:32:07-04:00,2021-06-10 09:32:09-04:00,277.8963,182,2021-06-10,2021-06-10_2021-06-10 09:32:07-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,2.0
2021-06-10 09:32:25-04:00,2021-06-10 09:42:36-04:00,287.12,11087,2021-06-10,2021-06-10_2021-06-10 09:32:25-04:00,4.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,611.0
2021-06-10 09:43:10-04:00,2021-06-10 09:43:29-04:00,280.0766,362,2021-06-10,2021-06-10_2021-06-10 09:43:10-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,19.0
2021-06-10 09:44:44-04:00,2021-06-10 09:45:56-04:00,281.74,1156,2021-06-10,2021-06-10_2021-06-10 09:44:44-04:00,1.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,72.0
2021-06-10 10:11:18-04:00,2021-06-10 10:11:18-04:00,283.14,9,2021-06-10,2021-06-10_2021-06-10 10:11:18-04:00,3.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,0.0
2021-06-10 10:11:39-04:00,2021-06-10 10:11:39-04:00,283.14,6,2021-06-10,2021-06-10_2021-06-10 10:11:39-04:00,5.0,57.545,59.275,3.0063428621079025,55.625,-3.3365192458076343,47.825,-16.89112868190111,50.95,-11.460596055261096,49.1875,-14.523416456686078,35.9975,-37.44460856720827,26.0,-54.81796854635503,24.95,-56.64262750890608,0.0
