burst_id,date,mean_x,mean_y,var_x,var_y,size,cluster
2021-05-28_2021-05-28T09:12:42-04:00,2021-05-28,0.595957248,0.0,,,1,5
2021-05-28_2021-05-28T09:12:46-04:00,2021-05-28,0.6319179093333332,0.592039800995038,0.06849380533797157,0.22033117992129486,6,3
2021-05-28_2021-05-28T09:12:51-04:00,2021-05-28,0.384470784,0.7218468468468472,0.10255767225123909,0.23440163136109096,4,0
2021-05-28_2021-05-28T09:12:56-04:00,2021-05-28,0.400166144,0.0,,,1,2
2021-05-28_2021-05-28T09:13:01-04:00,2021-05-28,0.303166016,0.7499444444444584,0.06508064633683423,0.2499629753086513,4,0
2021-05-28_2021-05-28T09:13:06-04:00,2021-05-28,0.37645224888888884,0.5752525252525298,0.05782092844379464,0.07576503673094567,9,3
2021-05-28_2021-05-28T09:13:16-04:00,2021-05-28,0.50638209408,0.586771929824558,0.08777033795083036,0.08330792017638036,50,3
2021-05-28_2021-05-28T09:13:50-04:00,2021-05-28,0.4777340605517576,0.5645089951032686,0.08043047768754942,0.03175591456128506,616,1
2021-05-28_2021-05-28T09:20:07-04:00,2021-05-28,0.5053377421691432,0.4422319902319863,0.08840104095805107,0.08260369539029705,819,1
2021-05-28_2021-05-28T09:28:21-04:00,2021-05-28,0.46580599699451447,0.5546674996095565,0.0821535069589344,0.020270782702774912,95,3
2021-05-28_2021-05-28T09:29:35-04:00,2021-05-28,0.7268922519365079,0.5434001655405262,0.019265449775571552,0.05144130215017377,636,1
2021-05-28_2021-05-28T09:30:19-04:00,2021-05-28,0.529470336,0.15251308044473616,0.12859931268166297,0.048502013636217436,22,3
2021-05-28_2021-05-28T09:30:21-04:00,2021-05-28,0.5247002267826086,0.31205352927355606,0.06341529558104154,0.0671314495574832,23,3
2021-05-28_2021-05-28T09:30:24-04:00,2021-05-28,0.4628329192727273,0.21277540106952034,0.08076688370721732,0.04336120626598737,22,3
2021-05-28_2021-05-28T09:30:26-04:00,2021-05-28,0.5781981103157895,0.2764122120864066,0.09346850113102519,0.06332176382308807,19,3
2021-05-28_2021-05-28T09:30:31-04:00,2021-05-28,0.48932807314285715,0.2671647861917742,0.05989009601709545,0.04484818467372911,28,3
2021-05-28_2021-05-28T09:30:34-04:00,2021-05-28,0.4970373942857143,0.22741171749598932,0.08943022570609793,0.044629657536826635,28,3
2021-05-28_2021-05-28T09:30:55-04:00,2021-05-28,0.428947968,0.14938836198157382,0.057826979115785763,0.042955836270152634,20,3
2021-05-28_2021-05-28T09:31:10-04:00,2021-05-28,0.4389388109770569,0.5452362985349469,0.08268966019626978,0.02931937406656514,5000,4
