start,end,max,count,date
2024-06-07 09:06:51-04:00,2024-06-07 09:06:51-04:00,62.99,13,2024-06-07
2024-06-07 09:07:05-04:00,2024-06-07 09:07:05-04:00,63.0,10,2024-06-07
2024-06-07 09:07:20-04:00,2024-06-07 09:07:20-04:00,63.0,14,2024-06-07
2024-06-07 09:07:33-04:00,2024-06-07 09:07:33-04:00,63.0,9,2024-06-07
2024-06-07 09:07:48-04:00,2024-06-07 09:07:48-04:00,63.0,11,2024-06-07
2024-06-07 09:07:59-04:00,2024-06-07 09:07:59-04:00,63.0,6,2024-06-07
2024-06-07 09:08:15-04:00,2024-06-07 09:08:15-04:00,63.0,9,2024-06-07
2024-06-07 09:08:29-04:00,2024-06-07 09:08:29-04:00,63.0,9,2024-06-07
2024-06-07 09:08:43-04:00,2024-06-07 09:08:43-04:00,63.0,11,2024-06-07
2024-06-07 09:08:58-04:00,2024-06-07 09:08:58-04:00,63.0,5,2024-06-07
2024-06-07 09:09:13-04:00,2024-06-07 09:09:13-04:00,63.0,15,2024-06-07
2024-06-07 09:09:27-04:00,2024-06-07 09:09:27-04:00,63.02,7,2024-06-07
2024-06-07 09:09:43-04:00,2024-06-07 09:09:43-04:00,63.03,13,2024-06-07
2024-06-07 09:10:10-04:00,2024-06-07 09:10:10-04:00,63.04,13,2024-06-07
2024-06-07 09:10:24-04:00,2024-06-07 09:10:24-04:00,63.05,8,2024-06-07
2024-06-07 09:10:40-04:00,2024-06-07 09:10:40-04:00,63.08,6,2024-06-07
2024-06-07 09:10:55-04:00,2024-06-07 09:10:55-04:00,63.09,8,2024-06-07
2024-06-07 09:11:07-04:00,2024-06-07 09:11:07-04:00,63.12,9,2024-06-07
2024-06-07 09:11:28-04:00,2024-06-07 09:11:28-04:00,63.18,14,2024-06-07
2024-06-07 09:11:42-04:00,2024-06-07 09:11:42-04:00,63.2,12,2024-06-07
2024-06-07 09:11:56-04:00,2024-06-07 09:11:56-04:00,63.2,10,2024-06-07
2024-06-07 09:12:10-04:00,2024-06-07 09:12:10-04:00,63.29,11,2024-06-07
2024-06-07 09:12:25-04:00,2024-06-07 09:12:25-04:00,63.44,11,2024-06-07
2024-06-07 09:12:41-04:00,2024-06-07 09:12:41-04:00,63.45,16,2024-06-07
2024-06-07 09:12:59-04:00,2024-06-07 09:12:59-04:00,63.59,10,2024-06-07
2024-06-07 09:13:14-04:00,2024-06-07 09:13:14-04:00,63.6,11,2024-06-07
2024-06-07 09:13:29-04:00,2024-06-07 09:13:29-04:00,63.6,16,2024-06-07
2024-06-07 09:13:44-04:00,2024-06-07 09:13:44-04:00,63.6,8,2024-06-07
2024-06-07 09:13:58-04:00,2024-06-07 09:13:58-04:00,63.63,17,2024-06-07
2024-06-07 09:14:13-04:00,2024-06-07 09:14:13-04:00,63.7,6,2024-06-07
2024-06-07 09:14:27-04:00,2024-06-07 09:14:27-04:00,63.7,13,2024-06-07
2024-06-07 09:14:41-04:00,2024-06-07 09:14:41-04:00,63.78,9,2024-06-07
2024-06-07 09:14:54-04:00,2024-06-07 09:14:54-04:00,63.8,11,2024-06-07
2024-06-07 09:15:07-04:00,2024-06-07 09:15:07-04:00,63.8,9,2024-06-07
2024-06-07 09:15:22-04:00,2024-06-07 09:15:22-04:00,63.9,7,2024-06-07
2024-06-07 09:15:37-04:00,2024-06-07 09:15:37-04:00,63.92,5,2024-06-07
2024-06-07 09:15:49-04:00,2024-06-07 09:15:49-04:00,63.98,13,2024-06-07
2024-06-07 09:16:00-04:00,2024-06-07 09:16:00-04:00,64.13,7,2024-06-07
2021-01-25 08:31:11-05:00,2021-01-25 08:31:14-05:00,102.7498,9,2021-01-25
